miRNA,drug
hsa-mir-200b,Gemcitabine
hsa-mir-21,Gemcitabine
hsa-mir-24-1,Methotrexate
hsa-mir-214,Cisplatin
hsa-mir-100,TRAIL therapy
hsa-mir-125b-1,TRAIL therapy
hsa-mir-15b,TRAIL therapy
hsa-mir-221,TRAIL therapy
hsa-mir-222,TRAIL therapy
hsa-mir-9-1,TRAIL therapy
hsa-mir-96,TRAIL therapy
hsa-mir-15b,Vincristine
hsa-mir-16-1,Vincristine
hsa-mir-17,Chemotherapy
hsa-mir-27a,Hydroxyurea
hsa-mir-27a,Hydroxyurea
hsa-mir-27a,Vinblastine
hsa-mir-27a,Vinblastine
hsa-mir-451a,Hydroxyurea
hsa-mir-451a,Hydroxyurea
hsa-mir-451a,Vinblastine
hsa-mir-451a,Vinblastine
hsa-let-7a-1,Doxorubicin (Adriamycin)
hsa-let-7b,Doxorubicin (Adriamycin)
hsa-let-7d,Doxorubicin (Adriamycin)
hsa-let-7f-1,Doxorubicin (Adriamycin)
hsa-let-7g,Doxorubicin (Adriamycin)
hsa-let-7i,Doxorubicin (Adriamycin)
hsa-mir-100,Doxorubicin (Adriamycin)
hsa-mir-103a-1,Doxorubicin (Adriamycin)
hsa-mir-106a,Doxorubicin (Adriamycin)
hsa-mir-106b,Doxorubicin (Adriamycin)
hsa-mir-107,Doxorubicin (Adriamycin)
hsa-mir-10a,Doxorubicin (Adriamycin)
hsa-mir-125a,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Doxorubicin (Adriamycin)
hsa-mir-127,Doxorubicin (Adriamycin)
hsa-mir-128-2,Doxorubicin (Adriamycin)
hsa-mir-130a,Doxorubicin (Adriamycin)
hsa-mir-132,Doxorubicin (Adriamycin)
hsa-mir-133a-1,Doxorubicin (Adriamycin)
hsa-mir-133b,Doxorubicin (Adriamycin)
hsa-mir-140,Doxorubicin (Adriamycin)
hsa-mir-141,Doxorubicin (Adriamycin)
hsa-mir-145,Doxorubicin (Adriamycin)
hsa-mir-146b,Doxorubicin (Adriamycin)
hsa-mir-148a,Doxorubicin (Adriamycin)
hsa-mir-149,Doxorubicin (Adriamycin)
hsa-mir-152,Doxorubicin (Adriamycin)
hsa-mir-155,Doxorubicin (Adriamycin)
hsa-mir-15a,Doxorubicin (Adriamycin)
hsa-mir-15b,Doxorubicin (Adriamycin)
hsa-mir-16-1,Doxorubicin (Adriamycin)
hsa-mir-17,Doxorubicin (Adriamycin)
hsa-mir-181b-1,Doxorubicin (Adriamycin)
hsa-mir-181d,Doxorubicin (Adriamycin)
hsa-mir-182,Doxorubicin (Adriamycin)
hsa-mir-185,Doxorubicin (Adriamycin)
hsa-mir-186,Doxorubicin (Adriamycin)
hsa-mir-187,Doxorubicin (Adriamycin)
hsa-mir-18a,Doxorubicin (Adriamycin)
hsa-mir-18b,Doxorubicin (Adriamycin)
hsa-mir-191,Doxorubicin (Adriamycin)
hsa-mir-192,Doxorubicin (Adriamycin)
hsa-mir-193b,Doxorubicin (Adriamycin)
hsa-mir-194-1,Doxorubicin (Adriamycin)
hsa-mir-195,Doxorubicin (Adriamycin)
